Date,value,action
2000-06-14,2.0,DIVIDEND
2001-06-07,2.2,DIVIDEND
2002-06-06,2.31,DIVIDEND
2003-06-12,2.31,DIVIDEND
2004-06-03,2.31,DIVIDEND
2005-06-02,2.31,DIVIDEND
2006-06-08,2.4,DIVIDEND
2007-06-07,2.64,DIVIDEND
2008-06-05,3.0,DIVIDEND
2009-06-01,3.0,DIVIDEND
2010-05-31,3.25,DIVIDEND
2010-12-27,0.1,SPLIT
2011-05-30,0.425,DIVIDEND
2012-06-04,0.8,DIVIDEND
2013-06-05,0.8,DIVIDEND
2014-06-10,0.8,DIVIDEND
2015-06-02,0.8,DIVIDEND
2016-05-31,0.9,DIVIDEND
2017-06-06,0.95,DIVIDEND
